Entry ID,Comments,ID submitter user,Locality,Region,Subregion,Agriculture,Site ,Site description,Context ID,Context description,Altitude,Latitute,Longitude,Exact Site location,Radius,Individual ID,Burial type,Taxon,Taxon common name,Sex,Age category individual,Min. age individual,Max. age individual,Sample type,Min age (95%),Max age (95%),Dating method,14C,14C unc,Period_tags,Period_2,d13C,d13C_err,d15N,d15N_err,Collagen yield,,%C,%N,C/N,Reference,Link,DOI,Publication date
1256,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-48,SH-856,Homo sapiens,Human,F,?,,,,-3500,-2500,Cross dating,,,Middle Jomon,,-21.5,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1263,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-88,SH-1203,Homo sapiens,Human,F,Adult,,,,-3500,-2500,Cross dating,,,Middle Jomon,,-23.2,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
722,,Hudson,"Murahigashi-yamate, Nagano",Chubu,Central Highlands,N,Murahigashi-yamate,,,,,36.353,138.1345,,,SB-09-1,,Homo sapiens,Human,?,?,,,,-2500,-1000,,,,Late Jomon,Late/FInal Jomon,-19.8,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
1244,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-03,SH-503,Homo sapiens,Human,M,Middle adult,30,40,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-17.9,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1245,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-05,SH-508,Homo sapiens,Human,M,,,,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-19.3,0.5,6.9,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1246,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-12,SH-559,Homo sapiens,Human,F,Mature adult?,,,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-20.8,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1247,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-13,SH-573,Homo sapiens,Human,F,Young adult,25,30,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-24.8,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1248,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-22,SH-693,Homo sapiens,Human,F,,,,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-19.7,0.5,5.9,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1250,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-27,SH-743,Homo sapiens,Human,M,Old adult,50,60,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-19.2,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1251,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-32,SH-764,Homo sapiens,Human,M,Middle adult,30,40,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-18.5,0.5,6.4,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1255,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-43,SH-842,Homo sapiens,Human,?,?,,,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-21,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1257,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-49,SH-857,Homo sapiens,Human,F,Middle adult,40,,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-21.8,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1258,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-50,SH-858,Homo sapiens,Human,M,Adult,,,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-21.1,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1259,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-68,SH-1160,Homo sapiens,Human,F,Old adult,60,,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-20.5,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1260,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-69,SH-1161,Homo sapiens,Human,M,Old adult,60,,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-20.7,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1261,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-74,SH-1178,Homo sapiens,Human,F,Old adult,50,60,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-21.1,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1262,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-87,SH-1200,Homo sapiens,Human,M,Old adult,50,55,,-2500,-1000,Cross dating,,,Late Jomon,Late/FInal Jomon,-20.7,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
605,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-1,,Homo sapiens,Human,F,Adult,,,Femur,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-21.4,0.5,10.7,0.5,,,28.1,5.3,6.01,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,,2004
606,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-2,,Homo sapiens,Human,?,Adult,,,Cranium,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-18.6,0.5,8.1,0.5,,,38.1,12.3,3.45,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
607,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-4,,Homo sapiens,Human,?,Mature adult,40,50,Cranium,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-19.2,0.5,10.3,0.5,,,31.3,7.8,4.56,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
608,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-5,,Homo sapiens,Human,M,Adult,,,Femur,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-20.6,0.5,10.7,0.5,,,23.7,4.5,6.01,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
609,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-6A,,Homo sapiens,Human,M,Mature adult,40,50,Rib,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-18.1,0.5,10.2,0.5,,,38.7,13.5,3.17,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
610,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-6B,,Homo sapiens,Human,F?,Older adult,50,,Rib,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-18.2,0.5,8.4,0.5,,,38.2,13.4,3.14,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
611,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-6G,,Homo sapiens,Human,F,Adult,,,Unknown,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-18.3,0.5,8.6,0.5,,,38.6,13.1,3.26,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
612,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-6I,,Homo sapiens,Human,M?,?,,,Cranium,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-18.5,0.5,7.2,0.5,,,37.4,12.3,3.37,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
613,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-6J,,Homo sapiens,Human,?,Young adult,20,30,Limb,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-18.2,0.5,8.2,0.5,,,37,11.7,3.5,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
614,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-6K,,Homo sapiens,Human,M?,Adult,20,40,Cranium,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-18.5,0.5,7.4,0.5,,,36.9,12.6,3.2,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
615,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-6L,,Homo sapiens,Human,M?,Young adult,20,30,Cranium,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-18.2,0.5,9.4,0.5,,,38,13.3,3.13,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
616,,Hudson,"Boji, Nagano",Chubu,Central Highlands,Y,Boji,Cemetery,,,428,36.2608,138.115,,,Boji-6M,,Homo sapiens,Human,F,Juvenile,15,15,Cranium,-1500,-500,Pottery cross dating,,,Late-Final Jomon,Late/Final Jomon,-18,0.5,9.1,0.5,,,36,12,3.28,"Yoneda, M. et al. (2004) Isotopic evidence of inland-water fishing by a Jomon population excavated from the Boji site, Nagano, Japan. Jnl. Arch. Science 31: 97-107. ",https://www.sciencedirect.com/science/article/abs/pii/S0305440303001031,doi.org/10.1016/S0305-4403(03)00103-1,2004
717,,Hudson,"Matsubara, Nagano",Chubu,Central Highlands,Y,Matsubara,,,,,36.344,138.1225,,,SD102,,Homo sapiens,Human,?,?,,,,-400,100,,,,Middle Yayoi,Yayoi,-20.5,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
725,,Hudson,"Ohmuro, Nagano",Chubu,Central Highlands,Y,Ohmuro,Kofun tomb,,,,36.3541,138.1334,,,24-B-14,,Homo sapiens,Human,?,?,,,,500,710,,,,Kofun,,-18.7,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
726,,Hudson,"Ohmuro, Nagano",Chubu,Central Highlands,Y,Ohmuro,Kofun tomb,,,,36.3541,138.1334,,,24-B-20,,Homo sapiens,Human,?,?,,,,500,710,,,,Kofun,,-19.4,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
727,,Hudson,"Ohmuro, Nagano",Chubu,Central Highlands,Y,Ohmuro,Kofun tomb,,,,36.3541,138.1334,,,25-56,,Homo sapiens,Human,?,?,,,,500,710,,,,Kofun,,-19.6,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
728,,Hudson,"Ohmuro, Nagano",Chubu,Central Highlands,Y,Ohmuro,Kofun tomb,,,,36.3541,138.1334,,,25-369,,Homo sapiens,Human,?,?,,,,500,710,,,,Kofun,,-19.9,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
729,,Hudson,"Ohmuro, Nagano",Chubu,Central Highlands,Y,Ohmuro,Kofun tomb,,,,36.3541,138.1334,,,25-386,,Homo sapiens,Human,?,?,,,,500,710,,,,Kofun,,-20.8,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
730,,Hudson,"Ohmuro, Nagano",Chubu,Central Highlands,Y,Ohmuro,Kofun tomb,,,,36.3541,138.1334,,,25-396,,Homo sapiens,Human,?,?,,,,500,710,,,,Kofun,,-18.9,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
723,,Hudson,"Murahigashi-yamate, Nagano",Chubu,Central Highlands,Y,Murahigashi-yamate,,,,,36.353,138.1345,,,SM-4-2,,Homo sapiens,Human,?,?,,,,710,794,,,,Nara,,-19.9,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
724,,Hudson,"Murahigashi-yamate, Nagano",Chubu,Central Highlands,Y,Murahigashi-yamate,,,,,36.353,138.1345,,,SM-4-3,,Homo sapiens,Human,?,?,,,,710,794,,,,Nara,,-19.9,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
718,,Hudson,"Matsubara, Nagano",Chubu,Central Highlands,Y,Matsubara,,,,,36.344,138.1225,,,SM-1,,Homo sapiens,Human,F,Adult,,,,794,1185,,,,Heian,,-20,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
719,,Hudson,"Matsubara, Nagano",Chubu,Central Highlands,Y,Matsubara,,,,,36.344,138.1225,,,SM-3,,Homo sapiens,Human,F,Adult,,,,794,1185,,,,Heian,,-18.6,0.5,,0.5,,,,,,"Yoneda, M., K. Yoshida, J. Yoshinaga, M. Morita, T. Akazawa (1996)  Reconstruction of palaeodiet in Nagano prefecture based on the carbon and nitogen isotope analysis and the trace elemental analysis. Daiyonki Kenkyu (Quaternary Research) 35: 293-303 (Japanese with English abstract)",https://www.jstage.jst.go.jp/article/jaqua1957/35/4/35_4_293/_article/-char/ja/,https://doi.org/10.4116/jaqua.35.293,1996
